Stage	Order	Question	Answer	Example	Tags	Difficulty
1_structures	5	What does grid[1][2] return in a list of lists?	Item at row 1 (second row), column 2 (third column)	Remember: zero-indexed	python,structures	medium
1_structures	6	How do you create a list of lists with a header row?	Put header as first nested list	table = [["Name","Age"], ["Alice",30], ["Bob",25]]	python,structures	medium
1_structures	7	How do you skip the header row when looping?	Use slicing: table[1:]	for row in table[1:]: print(row)	python,structures	medium
1_structures	8	What is a dictionary in Python?	An unordered collection of key-value pairs	my_dict = {"name": "Alice", "age": 30}	python,basics,structures	easy
1_structures	9	What is a list of dictionaries?	A list where each item is a dictionary	people = [{"name":"Alice"}, {"name":"Bob"}]	python,structures	medium
1_structures	10	How do you access a value in a list of dicts?	list_name[index]["key"]	people[0]["name"] returns "Alice"	python,structures	medium
1_structures	11	What is a dictionary of lists?	A dictionary where each value is a list	data = {"names": ["Alice","Bob"], "ages": [30,25]}	python,structures	medium
1_structures	12	How do you access an item in a dict of lists?	dict_name["key"][index]	data["names"][0] returns "Alice"	python,structures	medium
1_structures	13	What is a dictionary of dictionaries?	A dictionary where each value is another dictionary	students = {"s1": {"name":"Alice"}, "s2": {"name":"Bob"}}	python,structures	medium
1_structures	14	How do you access a value in a dict of dicts?	dict_name["outer_key"]["inner_key"]	students["s1"]["name"] returns "Alice"	python,structures	medium
1_structures	15	When should you use a list of lists?	Simple grid/table with row and column access	Spreadsheet-like data without column names	python,structures	medium
1_structures	16	When should you use a list of dictionaries?	Row-by-row data where each row has named fields	Like CSV with headers - each row is a record	python,structures	medium
1_structures	17	When should you use a dictionary of lists?	Column-oriented data storage	When you access entire columns frequently	python,structures	medium
1_structures	18	When should you use a dictionary of dictionaries?	Fast lookup by ID or name	When you need O(1) lookup by key	python,structures	hard
1_structures	19	How do you loop through a list of lists?	Nested for loops	for row in grid: for item in row: print(item)	python,structures,loops	medium
1_structures	20	How do you loop through a list of dicts?	for record in list: access record["key"]	for person in people: print(person["name"])	python,structures,loops	medium
1_structures	21	How do you loop through a dict of lists?	for key, value_list in dict.items()	for col, vals in data.items(): print(col, vals)	python,structures,loops	medium
1_structures	22	How do you loop through a dict of dicts?	for outer_key, inner_dict in dict.items()	for id, student in students.items(): print(student["name"])	python,structures,loops	hard
1_structures	23	How do you modify a value in a list of lists?	list[row][col] = new_value	grid[1][2] = 99	python,structures	medium
1_structures	24	How do you modify a value in a list of dicts?	list[index]["key"] = new_value	people[0]["age"] = 31	python,structures	medium
1_structures	25	How do you modify a value in a dict of lists?	dict["key"][index] = new_value	data["ages"][0] = 31	python,structures	medium
1_structures	26	What is a tuple in Python?	An ordered, immutable collection	my_tuple = (1, 2, 3)	python,basics,structures	easy
1_structures	27	What is the key difference between a list and a tuple?	Lists are mutable; tuples are immutable	You can change list[0]=5 but not tuple[0]=5	python,structures	medium
1_structures	28	What is a set in Python?	An unordered collection of unique items	my_set = {1, 2, 3} or set([1, 2, 3])	python,basics,structures	easy
2_core	1	What does df.dropna() do?	Drops rows with any null values	Removes entire row if any column has NaN	pandas,nulls	medium
2_core	2	How do you drop rows where a specific column is null?	df.dropna(subset=["ColumnName"])	df.dropna(subset=["Age"]) only checks Age column	pandas,nulls	medium
2_core	3	How do you fill null values with a specific value?	series.fillna(value)	df["Age"].fillna(0) replaces all NaN with 0	pandas,nulls	medium
2_core	4	What is the difference between fillna() and dropna()?	fillna replaces nulls; dropna removes rows	fillna keeps all rows; dropna loses rows	pandas,nulls	easy
2_core	5	How do you select multiple columns as a DataFrame?	df[["Col1", "Col2"]]	Double brackets return DataFrame; single returns Series	pandas,selection	medium
2_core	6	How do you check if Name starts with 'Dr'?	df["Name"].str.startswith("Dr")	Returns boolean Series	pandas,strings	medium
2_core	7	How do you check if Name ends with 'Jr'?	df["Name"].str.endswith("Jr")	Returns boolean Series	pandas,strings	medium
2_core	8	How do you create a new boolean flag column?	df["NewCol"] = boolean_condition	df["Senior"] = df["Age"] >= 65	pandas,columns	medium
2_core	9	How do you map boolean values to labels?	series.map({True: "label1", False: "label2"})	df["Status"] = df["Senior"].map({True:"Yes", False:"No"})	pandas,columns	medium
2_core	10	How do you conditionally set values using .loc?	df.loc[condition, "Column"] = value	df.loc[df["Age"]>=65, "Category"] = "Senior"	pandas,loc	high
2_core	11	What is the pattern for cascading conditions?	Set default, then overwrite with .loc for each condition	df["Cat"]="Unknown"; df.loc[df["Age"]<18,"Cat"]="Minor"	pandas,loc	high
2_core	12	How do you sort a DataFrame by one column?	df.sort_values("ColumnName")	Ascending by default	pandas,sorting	easy
2_core	13	How do you sort in descending order?	df.sort_values("Column", ascending=False)	Largest to smallest	pandas,sorting	easy
2_core	14	How do you get the top 10 rows after sorting?	df.sort_values("Column", ascending=False).head(10)	Chain sort and head	pandas,sorting	medium
2_debug	1	AI gives you: df[df["Age"]>30]["Status"]="Old" - what's wrong?	SettingWithCopyWarning - modifying a slice	Fix: df.loc[df["Age"]>30, "Status"] = "Old"	pandas,debugging,gotchas	high
2_debug	2	Your merge result has 2x rows as left DataFrame - why?	Duplicate keys in right DataFrame (many-to-many join)	Check: right_df["Email"].duplicated().sum()	pandas,debugging,merging	high
2_debug	3	df["Name"].str.contains("John") fails with "cannot mask with non-boolean array containing NA" - why?	Null values in Name column cause error	Fix: add na=False parameter	pandas,debugging,strings	high
2_debug	4	After merge, some expected matches are missing - what to check?	Key values might not match exactly (whitespace, case, type)	Check: df["Email"].str.strip().str.lower()	pandas,debugging,merging	high
2_debug	5	df["Age"].astype(int) fails - what's the likely cause?	Column contains null values (NaN)	Fix: df["Age"].fillna(0).astype(int)	pandas,debugging,dtypes	medium
2_debug	6	Groupby result shows NaN for some groups - why?	Those groups had no non-null values to aggregate	Use .count() instead of .mean() to see group sizes	pandas,debugging,groupby	medium
2_debug	7	You filter df then modify it but original df unchanged - why?	You modified a view, not a copy	Fix: filtered = df[condition].copy()	pandas,debugging,gotchas	high
2_debug	8	df.merge() result has columns like "Name_x" and "Name_y" - why?	Both DataFrames had "Name" column but you joined on different key	Specify suffixes or rename columns first	pandas,debugging,merging	medium
2_debug	9	Boolean filter returns empty DataFrame but you know matches exist - why?	Type mismatch (str "30" vs int 30) or case sensitivity	Check: df["Age"].dtype and df["Name"].str.lower()	pandas,debugging,filtering	medium
2_debug	10	After groupby, you can't access the group column anymore - why?	Group column became the index	Fix: add .reset_index()	pandas,debugging,groupby	medium
3_gated	1	What does indicator=True do in merge?	Adds a _merge column showing match status	Values: both, left_only, right_only	pandas,merging	gated
3_gated	2	How do you count match statuses after merge with indicator?	df["_merge"].value_counts()	Shows how many rows matched, didn't match	pandas,merging	gated
3_gated	3	How do you get multiple aggregations at once?	.groupby(...).agg({"col1":"func1", "col2":"func2"})	df.groupby("Dept").agg({"Salary":"mean", "Age":"max"})	pandas,groupby	gated
3_gated	4	What does df.query(...) do?	Filter rows using a string expression	df.query("Age > 30 and City == 'NY'")	pandas,filtering	gated
3_gated	5	How do you validate merge cardinality?	Use validate parameter	df.merge(other, on="Email", validate="one_to_one")	pandas,merging	gated
